5centimeterspersecond,5 Centimeters per Second
housekeepingmagefromanotherworldmakingyouradventuresfeellikehome,Housekeeping Mage from Another World: Making Your Adventures Feel Like Home!
howarealistherorebuiltthekingdom,How a Realist Hero Rebuilt the Kingdom
hownottosummonademonlord,How NOT to Summon a Demon Lord
howtomelttheicequeensheart,How to Melt the Ice Queen's Heart
howtowinherheartonthenthtry,How to Win Her Heart on the Nth Try
iabandonedmyengagementbecausemysisterisatragicheroinebutsomehowibecameentangledwitharighteousprince,"I Abandoned My Engagement Because My Sister is a Tragic Heroine, but Somehow I Became Entangled with a Righteous Prince"
iamblueinpainandfragile,"I am Blue, in Pain, and Fragile"
ibecamethesecretaryofahero,I Became the Secretary of a Hero!
ico,ICO
icocastleinthemist,ICO: Castle in the Mist
icouldneverbeasuccubus,I Could Never Be a Succubus!
idontwanttobethedragondukesmaidservingmyexfiancefrommypastlife,I Don't Want to Be the Dragon Duke's Maid! Serving My Ex-Fiancé from My Past Life
idratherhaveacatthanaharem,I'd Rather Have a Cat than a Harem!
ifitsformydaughteridevendefeatademonlord,"If It's for My Daughter, I'd Even Defeat a Demon Lord"
iftherpgworldhadsocialmedia,If the RPG World Had Social Media...
ifthevillainessandvillainmetandfellinlove,If the Villainess and Villain Met and Fell in Love
igotacheatskillinanotherworldandbecameunrivaledintherealworldtoo,"I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too"
igothitbyatruckbutiwasntsenttoanotherworldwhattheheck,I Got Hit By a Truck But I Wasn't Sent to Another World! What the Heck?!
iguessthisdragonwholosthereggtodisasterismymomnow,I Guess This Dragon Who Lost Her Egg to Disaster Is My Mom Now
ihadthatsamedreamagain,I Had That Same Dream Again
ihaveasecret,I Have a Secret
ikeptpressingthe100millionyearbuttonandcameoutontop,I Kept Pressing the 100-Million-Year Button and Came Out on Top
ikissedmygirlfriendslittlesister,I Kissed My Girlfriend's Little Sister?!
illneversetfootinthathouseagain,I'll Never Set Foot in That House Again!
illusethisdoovertobecometheidealladysmaid,I'll Use This Do-over to Become the Ideal Lady's Maid!
imabehemothansrankedmonsterbutmistakenforacatiliveasanelfgirlspet,"I'm a Behemoth, an S-Ranked Monster, but Mistaken for a Cat, I Live as an Elf Girl's Pet"
imanobleonthebrinkofruinsoimightaswelltrymasteringmagic,"I'm a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic"
imaybeaguildreceptionistbutillsoloanybosstoclockoutontime,"I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time"
